date,location,aqi,parameter
2023-05-04T23:52:47+00:00,Columbia St,11.5,pm25
2023-05-04T23:52:35+00:00,Red Hook Initiative,7.7,pm25
2023-05-04T23:52:30+00:00,LESBreathe1,11.2,pm25
2023-05-04T23:52:22+00:00,Hell's Kitchen,16.3,pm25
2023-05-04T23:52:21+00:00,Driggs 285,14.1,pm25
2023-05-04T23:52:14+00:00,LES Breathe 4 - Williamsburg Bridge,12.6,pm25
2023-05-04T23:52:12+00:00,Purple Lorraine,9.1,pm25
2023-05-04T23:52:09+00:00,NBN - Bushwick and McKibbin,9.5,pm25
2023-05-04T23:52:05+00:00,MottAir01 Chinatown,17.3,pm25
2023-05-04T23:52:04+00:00,Beach JC,10.3,pm25
2023-05-04T23:52:03+00:00,W36stNYC2,14.3,pm25
2023-05-04T23:52:03+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:52:03+00:00,WESS EH s25,12.9,pm25
2023-05-04T23:52:01+00:00,Adelphi St,8.0,pm25
2023-05-04T23:51:48+00:00,20th Street btw 6th &amp; 7th Ave,5.7,pm25
2023-05-04T23:51:32+00:00,PurpleRecords-2,10.3,pm25
2023-05-04T23:51:31+00:00,"Hoboken, NJ ",11.0,pm25
2023-05-04T23:51:28+00:00,LESBreathe5,16.8,pm25
2023-05-04T23:51:27+00:00,SunsetPark58th,6.2,pm25
2023-05-04T23:51:27+00:00,Montgomery and JFK Blvd,7.4,pm25
2023-05-04T23:51:22+00:00,NBN- Norman &amp; Russell,12.9,pm25
2023-05-04T23:51:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.6,pm25
2023-05-04T23:51:03+00:00,PM - Chung Pak 4th Floor Rooftop,11.1,pm25
2023-05-04T23:51:01+00:00,LESBreathe2,10.1,pm25
2023-05-04T23:51:00+00:00,LESBreathe3,12.8,pm25
2023-05-04T23:50:47+00:00,PM - Chung Pak 13th Floor Rooftop,10.0,pm25
2023-05-04T23:50:38+00:00,Columbia St,12.0,pm25
2023-05-04T23:50:35+00:00,Red Hook Initiative,7.7,pm25
2023-05-04T23:50:27+00:00,LESBreathe1,11.3,pm25
2023-05-04T23:50:23+00:00,Driggs 285,14.0,pm25
2023-05-04T23:50:22+00:00,Hell's Kitchen,16.2,pm25
2023-05-04T23:49:33+00:00,PurpleRecords-2,10.2,pm25
2023-05-04T23:49:31+00:00,"Hoboken, NJ ",11.6,pm25
2023-05-04T23:49:28+00:00,LESBreathe5,13.2,pm25
2023-05-04T23:49:27+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:49:27+00:00,SunsetPark58th,5.7,pm25
2023-05-04T23:49:27+00:00,Montgomery and JFK Blvd,7.2,pm25
2023-05-04T23:49:22+00:00,NBN- Norman &amp; Russell,12.8,pm25
2023-05-04T23:49:22+00:00,Red Hook Farms - Columbia Street Farm 1,7.2,pm25
2023-05-04T23:49:01+00:00,LESBreathe2,11.3,pm25
2023-05-04T23:49:00+00:00,LESBreathe3,11.9,pm25
2023-05-04T23:48:46+00:00,PM - Chung Pak 13th Floor Rooftop,6.4,pm25
2023-05-04T23:48:35+00:00,Red Hook Initiative,7.9,pm25
2023-05-04T23:48:27+00:00,LESBreathe1,9.9,pm25
2023-05-04T23:48:22+00:00,Hell's Kitchen,15.2,pm25
2023-05-04T23:48:21+00:00,Driggs 285,14.2,pm25
2023-05-04T23:47:49+00:00,20th Street btw 6th &amp; 7th Ave,5.7,pm25
2023-05-04T23:47:49+00:00,Midtown-West,8.3,pm25
2023-05-04T23:47:32+00:00,PurpleRecords-2,10.1,pm25
2023-05-04T23:47:31+00:00,"Hoboken, NJ ",12.0,pm25
2023-05-04T23:47:28+00:00,LESBreathe5,14.8,pm25
2023-05-04T23:47:27+00:00,SunsetPark58th,5.2,pm25
2023-05-04T23:47:27+00:00,Gotham Professional Arts Academy,0.1,pm25
2023-05-04T23:47:27+00:00,Montgomery and JFK Blvd,6.6,pm25
2023-05-04T23:47:22+00:00,NBN- Norman &amp; Russell,13.3,pm25
2023-05-04T23:47:21+00:00,Red Hook Farms - Columbia Street Farm 1,8.1,pm25
2023-05-04T23:47:00+00:00,LESBreathe3,12.8,pm25
2023-05-04T23:47:00+00:00,LESBreathe2,10.9,pm25
2023-05-04T23:46:46+00:00,PM - Chung Pak 13th Floor Rooftop,6.9,pm25
2023-05-04T23:46:35+00:00,Red Hook Initiative,8.0,pm25
2023-05-04T23:46:27+00:00,LESBreathe1,10.9,pm25
2023-05-04T23:46:22+00:00,Hell's Kitchen,14.6,pm25
2023-05-04T23:46:21+00:00,Driggs 285,14.4,pm25
2023-05-04T23:45:32+00:00,PurpleRecords-2,9.6,pm25
2023-05-04T23:45:31+00:00,"Hoboken, NJ ",11.9,pm25
2023-05-04T23:45:28+00:00,LESBreathe5,14.3,pm25
2023-05-04T23:45:27+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:45:27+00:00,Montgomery and JFK Blvd,6.6,pm25
2023-05-04T23:45:27+00:00,SunsetPark58th,4.7,pm25
2023-05-04T23:45:22+00:00,NBN- Norman &amp; Russell,12.8,pm25
2023-05-04T23:45:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.9,pm25
2023-05-04T23:44:35+00:00,Red Hook Initiative,8.4,pm25
2023-05-04T23:44:27+00:00,LESBreathe1,11.0,pm25
2023-05-04T23:44:22+00:00,Hell's Kitchen,14.6,pm25
2023-05-04T23:44:21+00:00,Driggs 285,13.7,pm25
2023-05-04T23:44:14+00:00,LES Breathe 4 - Williamsburg Bridge,14.8,pm25
2023-05-04T23:44:13+00:00,Purple Lorraine,8.7,pm25
2023-05-04T23:44:09+00:00,NBN - Bushwick and McKibbin,9.7,pm25
2023-05-04T23:44:05+00:00,WESS EH s25,13.9,pm25
2023-05-04T23:44:05+00:00,MottAir01 Chinatown,20.9,pm25
2023-05-04T23:44:04+00:00,Beach JC,10.3,pm25
2023-05-04T23:44:03+00:00,W36stNYC2,14.3,pm25
2023-05-04T23:43:53+00:00,Adelphi St,7.4,pm25
2023-05-04T23:43:49+00:00,20th Street btw 6th &amp; 7th Ave,5.7,pm25
2023-05-04T23:43:49+00:00,Midtown-West,8.0,pm25
2023-05-04T23:43:32+00:00,PurpleRecords-2,11.1,pm25
2023-05-04T23:43:31+00:00,"Hoboken, NJ ",11.6,pm25
2023-05-04T23:43:28+00:00,LESBreathe5,12.8,pm25
2023-05-04T23:43:27+00:00,SunsetPark58th,5.3,pm25
2023-05-04T23:43:27+00:00,Montgomery and JFK Blvd,6.9,pm25
2023-05-04T23:43:25+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:43:22+00:00,NBN- Norman &amp; Russell,11.9,pm25
2023-05-04T23:43:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.9,pm25
2023-05-04T23:43:00+00:00,LESBreathe3,10.6,pm25
2023-05-04T23:43:00+00:00,LESBreathe2,11.3,pm25
2023-05-04T23:42:46+00:00,PM - Chung Pak 13th Floor Rooftop,9.6,pm25
2023-05-04T23:42:38+00:00,Columbia St,12.4,pm25
2023-05-04T23:42:36+00:00,Red Hook Initiative,9.4,pm25
2023-05-04T23:42:27+00:00,LESBreathe1,10.8,pm25
2023-05-04T23:42:22+00:00,Hell's Kitchen,16.7,pm25
2023-05-04T23:42:21+00:00,Driggs 285,14.0,pm25
2023-05-04T23:42:12+00:00,Purple Lorraine,8.2,pm25
2023-05-04T23:42:09+00:00,NBN - Bushwick and McKibbin,10.2,pm25
2023-05-04T23:42:05+00:00,MottAir01 Chinatown,15.9,pm25
2023-05-04T23:42:03+00:00,W36stNYC2,15.8,pm25
2023-05-04T23:42:03+00:00,WESS EH s25,14.8,pm25
2023-05-04T23:42:01+00:00,Beach JC,11.4,pm25
2023-05-04T23:41:53+00:00,Adelphi St,5.7,pm25
2023-05-04T23:41:48+00:00,20th Street btw 6th &amp; 7th Ave,5.4,pm25
2023-05-04T23:41:33+00:00,"Hoboken, NJ ",10.9,pm25
2023-05-04T23:41:32+00:00,PurpleRecords-2,10.2,pm25
2023-05-04T23:41:28+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:41:28+00:00,LESBreathe5,11.4,pm25
2023-05-04T23:41:27+00:00,Montgomery and JFK Blvd,6.1,pm25
2023-05-04T23:41:27+00:00,SunsetPark58th,5.9,pm25
2023-05-04T23:41:22+00:00,NBN- Norman &amp; Russell,11.4,pm25
2023-05-04T23:41:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.7,pm25
2023-05-04T23:41:00+00:00,LESBreathe3,12.0,pm25
2023-05-04T23:41:00+00:00,LESBreathe2,10.4,pm25
2023-05-04T23:40:46+00:00,PM - Chung Pak 13th Floor Rooftop,8.0,pm25
2023-05-04T23:40:38+00:00,Columbia St,11.8,pm25
2023-05-04T23:40:36+00:00,Red Hook Initiative,9.8,pm25
2023-05-04T23:40:27+00:00,LESBreathe1,10.7,pm25
2023-05-04T23:40:22+00:00,Hell's Kitchen,17.7,pm25
2023-05-04T23:40:21+00:00,Driggs 285,15.2,pm25
2023-05-04T23:40:09+00:00,NBN - Bushwick and McKibbin,9.2,pm25
2023-05-04T23:40:05+00:00,MottAir01 Chinatown,14.8,pm25
2023-05-04T23:40:03+00:00,WESS EH s25,15.5,pm25
2023-05-04T23:40:03+00:00,W36stNYC2,14.6,pm25
2023-05-04T23:40:01+00:00,Beach JC,10.9,pm25
2023-05-04T23:39:53+00:00,Adelphi St,5.2,pm25
2023-05-04T23:39:49+00:00,20th Street btw 6th &amp; 7th Ave,6.0,pm25
2023-05-04T23:39:49+00:00,Midtown-West,9.2,pm25
2023-05-04T23:39:32+00:00,PurpleRecords-2,9.9,pm25
2023-05-04T23:39:31+00:00,"Hoboken, NJ ",10.8,pm25
2023-05-04T23:39:28+00:00,LESBreathe5,10.0,pm25
2023-05-04T23:39:27+00:00,SunsetPark58th,5.3,pm25
2023-05-04T23:39:27+00:00,Montgomery and JFK Blvd,6.0,pm25
2023-05-04T23:39:26+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:39:22+00:00,NBN- Norman &amp; Russell,11.6,pm25
2023-05-04T23:39:21+00:00,Red Hook Farms - Columbia Street Farm 1,8.0,pm25
2023-05-04T23:38:27+00:00,LESBreathe1,11.4,pm25
2023-05-04T23:38:22+00:00,Hell's Kitchen,19.0,pm25
2023-05-04T23:38:21+00:00,Driggs 285,14.8,pm25
2023-05-04T23:38:09+00:00,NBN - Bushwick and McKibbin,10.0,pm25
2023-05-04T23:38:05+00:00,MottAir01 Chinatown,14.3,pm25
2023-05-04T23:38:03+00:00,W36stNYC2,13.4,pm25
2023-05-04T23:38:01+00:00,Beach JC,10.6,pm25
2023-05-04T23:37:53+00:00,Adelphi St,7.7,pm25
2023-05-04T23:37:51+00:00,20th Street btw 6th &amp; 7th Ave,6.1,pm25
2023-05-04T23:37:38+00:00,"Hoboken, NJ ",8.2,pm25
2023-05-04T23:37:32+00:00,PurpleRecords-2,11.0,pm25
2023-05-04T23:37:28+00:00,LESBreathe5,11.2,pm25
2023-05-04T23:37:27+00:00,SunsetPark58th,5.0,pm25
2023-05-04T23:37:27+00:00,Montgomery and JFK Blvd,5.5,pm25
2023-05-04T23:37:26+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:37:22+00:00,NBN- Norman &amp; Russell,11.3,pm25
2023-05-04T23:37:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.7,pm25
2023-05-04T23:36:27+00:00,LESBreathe1,11.7,pm25
2023-05-04T23:36:22+00:00,Hell's Kitchen,19.1,pm25
2023-05-04T23:36:21+00:00,Driggs 285,13.6,pm25
2023-05-04T23:36:09+00:00,NBN - Bushwick and McKibbin,9.5,pm25
2023-05-04T23:36:05+00:00,MottAir01 Chinatown,13.4,pm25
2023-05-04T23:36:03+00:00,WESS EH s25,16.6,pm25
2023-05-04T23:36:03+00:00,W36stNYC2,13.4,pm25
2023-05-04T23:36:02+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:36:01+00:00,Beach JC,10.7,pm25
2023-05-04T23:35:53+00:00,Adelphi St,6.7,pm25
2023-05-04T23:35:49+00:00,20th Street btw 6th &amp; 7th Ave,6.4,pm25
2023-05-04T23:35:49+00:00,Midtown-West,7.1,pm25
2023-05-04T23:35:32+00:00,PurpleRecords-2,10.1,pm25
2023-05-04T23:35:31+00:00,"Hoboken, NJ ",8.8,pm25
2023-05-04T23:35:29+00:00,LESBreathe5,10.5,pm25
2023-05-04T23:35:27+00:00,SunsetPark58th,4.8,pm25
2023-05-04T23:35:27+00:00,Montgomery and JFK Blvd,5.5,pm25
2023-05-04T23:35:22+00:00,NBN- Norman &amp; Russell,10.9,pm25
2023-05-04T23:35:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.6,pm25
2023-05-04T23:34:27+00:00,LESBreathe1,11.4,pm25
2023-05-04T23:34:22+00:00,Hell's Kitchen,19.0,pm25
2023-05-04T23:34:21+00:00,Driggs 285,11.7,pm25
2023-05-04T23:34:09+00:00,NBN - Bushwick and McKibbin,9.8,pm25
2023-05-04T23:34:05+00:00,MottAir01 Chinatown,13.5,pm25
2023-05-04T23:34:03+00:00,WESS EH s25,16.9,pm25
2023-05-04T23:34:03+00:00,W36stNYC2,14.7,pm25
2023-05-04T23:34:01+00:00,Beach JC,10.8,pm25
2023-05-04T23:33:53+00:00,Adelphi St,6.7,pm25
2023-05-04T23:33:49+00:00,Midtown-West,8.6,pm25
2023-05-04T23:33:49+00:00,20th Street btw 6th &amp; 7th Ave,6.4,pm25
2023-05-04T23:33:32+00:00,PurpleRecords-2,9.4,pm25
2023-05-04T23:33:31+00:00,"Hoboken, NJ ",9.0,pm25
2023-05-04T23:33:28+00:00,LESBreathe5,13.8,pm25
2023-05-04T23:33:27+00:00,SunsetPark58th,5.1,pm25
2023-05-04T23:33:27+00:00,Montgomery and JFK Blvd,6.0,pm25
2023-05-04T23:33:26+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:33:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.7,pm25
2023-05-04T23:33:21+00:00,NBN- Norman &amp; Russell,11.7,pm25
2023-05-04T23:32:27+00:00,LESBreathe1,11.9,pm25
2023-05-04T23:32:22+00:00,Hell's Kitchen,19.7,pm25
2023-05-04T23:32:21+00:00,Driggs 285,12.1,pm25
2023-05-04T23:32:09+00:00,NBN - Bushwick and McKibbin,8.2,pm25
2023-05-04T23:32:05+00:00,MottAir01 Chinatown,15.5,pm25
2023-05-04T23:32:03+00:00,W36stNYC2,13.9,pm25
2023-05-04T23:32:03+00:00,WESS EH s25,16.6,pm25
2023-05-04T23:32:01+00:00,Beach JC,10.8,pm25
2023-05-04T23:31:53+00:00,Adelphi St,6.7,pm25
2023-05-04T23:31:49+00:00,Midtown-West,9.3,pm25
2023-05-04T23:31:48+00:00,20th Street btw 6th &amp; 7th Ave,5.8,pm25
2023-05-04T23:31:31+00:00,PurpleRecords-2,10.7,pm25
2023-05-04T23:31:31+00:00,"Hoboken, NJ ",9.8,pm25
2023-05-04T23:31:28+00:00,LESBreathe5,16.9,pm25
2023-05-04T23:31:27+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:31:27+00:00,Montgomery and JFK Blvd,5.9,pm25
2023-05-04T23:31:27+00:00,SunsetPark58th,5.3,pm25
2023-05-04T23:31:21+00:00,NBN- Norman &amp; Russell,12.3,pm25
2023-05-04T23:31:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.5,pm25
2023-05-04T23:31:03+00:00,PM - Chung Pak 4th Floor Rooftop,12.4,pm25
2023-05-04T23:31:00+00:00,LESBreathe3,13.8,pm25
2023-05-04T23:31:00+00:00,LESBreathe2,13.4,pm25
2023-05-04T23:30:46+00:00,PM - Chung Pak 13th Floor Rooftop,30.1,pm25
2023-05-04T23:30:43+00:00,Columbia St,10.2,pm25
2023-05-04T23:30:35+00:00,Red Hook Initiative,8.2,pm25
2023-05-04T23:30:27+00:00,LESBreathe1,12.6,pm25
2023-05-04T23:30:22+00:00,Hell's Kitchen,20.7,pm25
2023-05-04T23:30:21+00:00,Driggs 285,14.6,pm25
2023-05-04T23:30:09+00:00,NBN - Bushwick and McKibbin,9.3,pm25
2023-05-04T23:30:04+00:00,MottAir01 Chinatown,18.3,pm25
2023-05-04T23:30:03+00:00,W36stNYC2,13.4,pm25
2023-05-04T23:30:03+00:00,WESS EH s25,17.1,pm25
2023-05-04T23:30:02+00:00,Beach JC,10.6,pm25
2023-05-04T23:29:53+00:00,Adelphi St,6.3,pm25
2023-05-04T23:29:49+00:00,Midtown-West,10.8,pm25
2023-05-04T23:29:48+00:00,20th Street btw 6th &amp; 7th Ave,5.8,pm25
2023-05-04T23:29:32+00:00,PurpleRecords-2,7.9,pm25
2023-05-04T23:29:31+00:00,"Hoboken, NJ ",10.7,pm25
2023-05-04T23:29:28+00:00,LESBreathe5,15.9,pm25
2023-05-04T23:29:27+00:00,Montgomery and JFK Blvd,5.1,pm25
2023-05-04T23:29:27+00:00,SunsetPark58th,5.1,pm25
2023-05-04T23:29:26+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:29:21+00:00,NBN- Norman &amp; Russell,11.8,pm25
2023-05-04T23:29:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.7,pm25
2023-05-04T23:28:46+00:00,PM - Chung Pak 13th Floor Rooftop,6.8,pm25
2023-05-04T23:28:38+00:00,Columbia St,11.5,pm25
2023-05-04T23:28:35+00:00,Red Hook Initiative,7.7,pm25
2023-05-04T23:28:27+00:00,LESBreathe1,13.3,pm25
2023-05-04T23:28:22+00:00,Hell's Kitchen,20.5,pm25
2023-05-04T23:28:21+00:00,Driggs 285,13.1,pm25
2023-05-04T23:28:09+00:00,NBN - Bushwick and McKibbin,8.7,pm25
2023-05-04T23:28:04+00:00,MottAir01 Chinatown,15.2,pm25
2023-05-04T23:28:03+00:00,WESS EH s25,17.6,pm25
2023-05-04T23:28:03+00:00,W36stNYC2,13.7,pm25
2023-05-04T23:28:01+00:00,Beach JC,10.7,pm25
2023-05-04T23:27:53+00:00,Adelphi St,7.8,pm25
2023-05-04T23:27:49+00:00,Midtown-West,10.4,pm25
2023-05-04T23:27:48+00:00,20th Street btw 6th &amp; 7th Ave,6.1,pm25
2023-05-04T23:27:31+00:00,PurpleRecords-2,8.2,pm25
2023-05-04T23:27:31+00:00,"Hoboken, NJ ",10.2,pm25
2023-05-04T23:27:28+00:00,LESBreathe5,11.9,pm25
2023-05-04T23:27:27+00:00,SunsetPark58th,5.6,pm25
2023-05-04T23:27:27+00:00,Montgomery and JFK Blvd,5.3,pm25
2023-05-04T23:27:26+00:00,Gotham Professional Arts Academy,0.1,pm25
2023-05-04T23:27:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.6,pm25
2023-05-04T23:27:21+00:00,NBN- Norman &amp; Russell,12.8,pm25
2023-05-04T23:27:03+00:00,PM - Chung Pak 4th Floor Rooftop,13.0,pm25
2023-05-04T23:27:00+00:00,LESBreathe2,11.6,pm25
2023-05-04T23:27:00+00:00,LESBreathe3,14.1,pm25
2023-05-04T23:26:46+00:00,PM - Chung Pak 13th Floor Rooftop,8.9,pm25
2023-05-04T23:26:38+00:00,Columbia St,11.3,pm25
2023-05-04T23:26:35+00:00,Red Hook Initiative,8.1,pm25
2023-05-04T23:26:27+00:00,LESBreathe1,12.1,pm25
2023-05-04T23:26:22+00:00,Hell's Kitchen,22.0,pm25
2023-05-04T23:26:21+00:00,Driggs 285,12.6,pm25
2023-05-04T23:26:14+00:00,LES Breathe 4 - Williamsburg Bridge,14.2,pm25
2023-05-04T23:26:09+00:00,NBN - Bushwick and McKibbin,9.6,pm25
2023-05-04T23:26:03+00:00,WESS EH s25,16.6,pm25
2023-05-04T23:26:03+00:00,W36stNYC2,13.7,pm25
2023-05-04T23:26:01+00:00,Beach JC,10.5,pm25
2023-05-04T23:25:48+00:00,20th Street btw 6th &amp; 7th Ave,5.4,pm25
2023-05-04T23:25:30+00:00,"Hoboken, NJ ",10.2,pm25
2023-05-04T23:25:28+00:00,LESBreathe5,12.1,pm25
2023-05-04T23:25:27+00:00,Montgomery and JFK Blvd,5.6,pm25
2023-05-04T23:25:27+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:25:27+00:00,SunsetPark58th,6.5,pm25
2023-05-04T23:25:24+00:00,NBN- Norman &amp; Russell,11.6,pm25
2023-05-04T23:25:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.3,pm25
2023-05-04T23:25:01+00:00,LESBreathe3,15.5,pm25
2023-05-04T23:25:00+00:00,LESBreathe2,13.4,pm25
2023-05-04T23:24:27+00:00,LESBreathe1,12.1,pm25
2023-05-04T23:24:22+00:00,Hell's Kitchen,19.0,pm25
2023-05-04T23:24:21+00:00,Driggs 285,15.2,pm25
2023-05-04T23:24:09+00:00,NBN - Bushwick and McKibbin,9.5,pm25
2023-05-04T23:24:04+00:00,MottAir01 Chinatown,15.4,pm25
2023-05-04T23:24:03+00:00,WESS EH s25,16.6,pm25
2023-05-04T23:24:03+00:00,W36stNYC2,14.4,pm25
2023-05-04T23:24:01+00:00,Beach JC,11.0,pm25
2023-05-04T23:23:53+00:00,Adelphi St,7.7,pm25
2023-05-04T23:23:49+00:00,Midtown-West,12.1,pm25
2023-05-04T23:23:48+00:00,20th Street btw 6th &amp; 7th Ave,5.4,pm25
2023-05-04T23:23:31+00:00,PurpleRecords-2,9.6,pm25
2023-05-04T23:23:30+00:00,"Hoboken, NJ ",10.0,pm25
2023-05-04T23:23:28+00:00,LESBreathe5,14.3,pm25
2023-05-04T23:23:27+00:00,Montgomery and JFK Blvd,5.5,pm25
2023-05-04T23:23:27+00:00,SunsetPark58th,6.8,pm25
2023-05-04T23:23:26+00:00,Gotham Professional Arts Academy,0.0,pm25
2023-05-04T23:23:21+00:00,Red Hook Farms - Columbia Street Farm 1,7.8,pm25
2023-05-04T23:23:21+00:00,NBN- Norman &amp; Russell,12.5,pm25
